Date,Open,High,Low,Close,Volume
7/3/90,0.3917,0.3973,0.3906,0.3929,99500800
7/5/90,0.3906,0.3951,0.3862,0.3884,107464000
7/6/90,0.3884,0.4018,0.3862,0.3996,209059200
7/9/90,0.4018,0.4196,0.3996,0.4163,315459200
7/10/90,0.4196,0.4241,0.4174,0.4196,361424000
7/11/90,0.4174,0.4196,0.4085,0.4196,246153600
7/12/90,0.4174,0.4241,0.4152,0.423,182470400
7/13/90,0.4241,0.4263,0.4174,0.4174,230977600
7/16/90,0.4174,0.4208,0.404,0.4074,179704000
7/17/90,0.4085,0.4107,0.3929,0.3951,136852800
7/18/90,0.3973,0.4018,0.3839,0.3984,288366400
7/19/90,0.3638,0.3795,0.3571,0.3728,585984000
7/20/90,0.375,0.3795,0.3638,0.3661,191844800
7/23/90,0.3661,0.3728,0.3571,0.3705,270188800
7/24/90,0.375,0.3772,0.3661,0.3761,193916800
7/25/90,0.375,0.3862,0.3728,0.3772,104921600
7/26/90,0.3772,0.3795,0.3661,0.3694,80337600
7/27/90,0.3683,0.3728,0.3616,0.3694,62316800
7/30/90,0.3638,0.3795,0.3638,0.3783,85456000
7/31/90,0.3795,0.3817,0.3705,0.375,96006400
8/1/90,0.375,0.3817,0.3705,0.3783,93508800
8/2/90,0.3683,0.3906,0.3683,0.3884,223126400
8/3/90,0.3884,0.3906,0.3549,0.3683,268968000
8/6/90,0.3482,0.3616,0.3438,0.3527,179659200
8/7/90,0.3594,0.3627,0.346,0.3527,198531200
8/8/90,0.3527,0.3638,0.3527,0.3583,102536000
8/9/90,0.3594,0.3616,0.3504,0.3527,96387200
8/10/90,0.346,0.3504,0.3415,0.346,102704000
8/13/90,0.3393,0.3571,0.3382,0.356,156116800
8/14/90,0.3571,0.3571,0.3504,0.3549,98168000
8/15/90,0.3571,0.3594,0.3504,0.3504,92052800
8/16/90,0.3482,0.3538,0.3438,0.3438,123894400
8/17/90,0.3438,0.3438,0.3192,0.3259,246108800
8/20/90,0.3259,0.3348,0.3237,0.3281,75062400
8/21/90,0.3192,0.3281,0.3147,0.3237,161044800
8/22/90,0.3304,0.3304,0.3114,0.3136,122718400
8/23/90,0.3058,0.3125,0.2991,0.308,143696000
8/24/90,0.3147,0.3214,0.3103,0.317,73416000
8/27/90,0.3281,0.3393,0.3237,0.3371,117465600
8/28/90,0.3348,0.3426,0.3326,0.3404,80192000
8/29/90,0.3393,0.3404,0.3281,0.3326,150931200
8/30/90,0.3326,0.3348,0.3214,0.3237,122595200
8/31/90,0.3214,0.3326,0.3214,0.3304,99456000
9/4/90,0.3259,0.3348,0.3259,0.3304,82745600
9/5/90,0.3326,0.3326,0.3192,0.3214,64052800
9/6/90,0.317,0.3214,0.3147,0.3192,87628800
9/7/90,0.317,0.3281,0.3136,0.3248,58172800
9/10/90,0.3304,0.3304,0.3192,0.3192,75980800
9/11/90,0.3214,0.3225,0.3013,0.3036,178270400
9/12/90,0.308,0.308,0.2991,0.3036,100408000
9/13/90,0.308,0.3103,0.2946,0.3013,97260800
9/14/90,0.2991,0.3058,0.2969,0.3036,113915200
9/17/90,0.3036,0.3147,0.2991,0.3013,77672000
9/18/90,0.3013,0.3013,0.2946,0.298,124611200
9/19/90,0.2969,0.3013,0.2857,0.2902,182459200
9/20/90,0.2879,0.2879,0.279,0.2824,100934400
9/21/90,0.2857,0.2902,0.2768,0.2813,153865600
9/24/90,0.2813,0.2813,0.2656,0.2701,138499200
9/25/90,0.2723,0.2746,0.2612,0.2679,157953600
9/26/90,0.2679,0.2723,0.2656,0.2656,94136000
9/27/90,0.2679,0.2723,0.25,0.2522,142340800
9/28/90,0.2545,0.2589,0.2433,0.2589,176041600
10/1/90,0.2634,0.2768,0.2612,0.2723,155657600
10/2/90,0.2768,0.2857,0.2634,0.2645,270984000
10/3/90,0.2656,0.2656,0.2388,0.2411,268240000
10/4/90,0.2388,0.25,0.2344,0.25,213494400
10/5/90,0.2411,0.2567,0.2411,0.25,99489600
10/8/90,0.2567,0.2612,0.2522,0.26,61532800
10/9/90,0.2545,0.2589,0.2478,0.25,120579200
10/10/90,0.2433,0.25,0.2321,0.2366,147907200
10/11/90,0.2388,0.2489,0.2277,0.2478,205979200
10/12/90,0.2522,0.2545,0.2411,0.2522,228648000
10/15/90,0.2545,0.2567,0.2377,0.2478,201017600
10/16/90,0.2455,0.2455,0.2165,0.2232,305233600
10/17/90,0.2254,0.2366,0.2232,0.2366,309064000
10/18/90,0.2366,0.2567,0.2366,0.2545,315000000
10/19/90,0.279,0.2835,0.2701,0.2801,933732800
10/22/90,0.2813,0.2813,0.2723,0.2779,252739200
10/23/90,0.2768,0.2813,0.2701,0.2768,167048000
10/24/90,0.2746,0.2768,0.2679,0.2723,141825600
10/25/90,0.2701,0.279,0.2645,0.2679,153462400
10/26/90,0.2656,0.279,0.2656,0.2679,134198400
10/29/90,0.2701,0.2723,0.2656,0.2667,123480000
10/30/90,0.2656,0.2746,0.2578,0.2712,98044800
10/31/90,0.2723,0.2846,0.2701,0.2746,148758400
11/1/90,0.2723,0.2768,0.2656,0.2723,90652800
11/2/90,0.2723,0.2891,0.2723,0.2835,148612800
11/5/90,0.2879,0.2991,0.2857,0.2969,184475200
11/6/90,0.2991,0.308,0.2969,0.2991,184766400
11/7/90,0.2991,0.3013,0.2913,0.2969,202977600
11/8/90,0.2946,0.3125,0.2946,0.308,199248000
11/9/90,0.3125,0.3192,0.308,0.317,198228800
11/12/90,0.317,0.3281,0.3147,0.3237,145051200
11/13/90,0.3237,0.3259,0.3192,0.3214,141948800
11/14/90,0.3192,0.3326,0.3192,0.3304,190747200
11/15/90,0.3281,0.3304,0.317,0.3214,161772800
11/16/90,0.3192,0.3214,0.3103,0.3136,183008000
11/19/90,0.317,0.3248,0.3147,0.3248,223910400
11/20/90,0.3259,0.3281,0.3147,0.317,153630400
11/21/90,0.3147,0.3237,0.3103,0.3225,123211200
11/23/90,0.3237,0.3304,0.3214,0.3248,53200000
11/26/90,0.3214,0.3304,0.3214,0.3281,81457600
11/27/90,0.3304,0.3415,0.3281,0.3348,164584000
11/28/90,0.3371,0.3438,0.3281,0.3281,174910400
11/29/90,0.3304,0.3304,0.3237,0.3281,126705600
11/30/90,0.3237,0.3326,0.3237,0.3281,121508800
12/3/90,0.3326,0.3415,0.3304,0.3404,165401600
12/4/90,0.3348,0.346,0.3348,0.3438,152152000
12/5/90,0.3438,0.3594,0.3382,0.3583,218388800
12/6/90,0.3683,0.3728,0.3616,0.3683,532246400
12/7/90,0.3661,0.3817,0.3661,0.3795,329660800
12/10/90,0.3772,0.3795,0.3705,0.3728,250588800
12/11/90,0.3683,0.3705,0.3571,0.3571,347883200
12/12/90,0.3549,0.3571,0.3482,0.3538,242356800
12/13/90,0.3527,0.3661,0.3527,0.3638,160731200
12/14/90,0.3594,0.3616,0.3527,0.356,87068800
12/17/90,0.3482,0.3616,0.3482,0.3583,131107200
12/18/90,0.3661,0.3795,0.3638,0.3772,220987200
12/19/90,0.3795,0.3795,0.3672,0.3739,140660800
12/20/90,0.3683,0.3973,0.3683,0.3929,401072000
12/21/90,0.3951,0.404,0.3884,0.4018,346136000
12/24/90,0.3996,0.4018,0.3929,0.3929,58721600
12/26/90,0.3929,0.3951,0.3839,0.3906,103073600
12/27/90,0.3862,0.3929,0.3862,0.3884,97652800
12/28/90,0.3862,0.3884,0.3817,0.3839,63929600
12/31/90,0.3839,0.3862,0.3817,0.3839,44273600
1/2/91,0.3817,0.3929,0.375,0.3884,154985600
1/3/91,0.3884,0.3951,0.3839,0.3839,150180800
1/4/91,0.3839,0.3951,0.3839,0.3862,141523200
1/7/91,0.3839,0.404,0.3839,0.3862,310800000
1/8/91,0.3906,0.3917,0.3795,0.3862,218691200
1/9/91,0.3951,0.4107,0.3906,0.404,467264000
1/10/91,0.4085,0.4219,0.4085,0.4208,435321600
1/11/91,0.4196,0.4219,0.4107,0.4196,307652800
1/14/91,0.4107,0.4174,0.4107,0.4129,210840000
1/15/91,0.4152,0.4174,0.4107,0.4174,192057600
1/16/91,0.4196,0.4464,0.4174,0.4442,390633600
1/17/91,0.4688,0.471,0.4375,0.4576,591673600
1/18/91,0.4353,0.4531,0.433,0.4487,943241600
1/21/91,0.4442,0.4598,0.4442,0.4531,324307200
1/22/91,0.4554,0.4688,0.4509,0.4576,427728000
1/23/91,0.4576,0.4665,0.4554,0.4621,244260800
1/24/91,0.4598,0.471,0.4598,0.4654,233934400
1/25/91,0.4643,0.4788,0.4643,0.4777,223809600
1/28/91,0.4754,0.4933,0.4754,0.4866,273481600
1/29/91,0.4844,0.4866,0.4665,0.4799,215555200
1/30/91,0.4754,0.4978,0.4754,0.4955,336772800
1/31/91,0.4955,0.5,0.4888,0.4955,242592000
2/1/91,0.4955,0.5167,0.4955,0.4978,444550400
2/4/91,0.4978,0.5,0.4911,0.4933,267848000
2/5/91,0.4933,0.5179,0.4888,0.5156,356115200
2/6/91,0.5156,0.5201,0.5045,0.5078,222566400
2/7/91,0.5089,0.5246,0.4978,0.5156,520172800
2/8/91,0.5134,0.5379,0.5134,0.5346,313555200
2/11/91,0.5357,0.5491,0.5335,0.548,323030400
2/12/91,0.5446,0.5469,0.5301,0.5357,224750400
2/13/91,0.5357,0.5379,0.5179,0.5357,255550400
2/14/91,0.5357,0.5357,0.5067,0.51,377675200
2/15/91,0.5112,0.5223,0.5112,0.5145,365612800
2/19/91,0.5134,0.5379,0.5123,0.5357,226251200
2/20/91,0.5313,0.5513,0.529,0.5446,213640000
2/21/91,0.5469,0.5558,0.5246,0.5268,190870400
2/22/91,0.5268,0.5513,0.5223,0.5335,232568000
2/25/91,0.5379,0.5402,0.5134,0.5179,359273600
2/26/91,0.5134,0.5246,0.5045,0.5201,250017600
2/27/91,0.5201,0.5223,0.5134,0.5201,174372800
2/28/91,0.5201,0.5223,0.5022,0.5112,227360000
3/1/91,0.5089,0.5268,0.5089,0.5156,126134400
3/4/91,0.5179,0.5246,0.5089,0.5212,88356800
3/5/91,0.5268,0.5647,0.5268,0.5636,441448000
3/6/91,0.5714,0.5859,0.5614,0.5625,523958400
3/7/91,0.567,0.6027,0.5647,0.6004,321753600
3/8/91,0.6049,0.6094,0.5804,0.5804,322201600
3/11/91,0.5759,0.5781,0.5558,0.567,175369600
3/12/91,0.5625,0.5692,0.558,0.5614,233676800
3/13/91,0.5603,0.5938,0.5603,0.5915,174552000
3/14/91,0.596,0.6027,0.5759,0.5826,227068800
3/15/91,0.5871,0.5938,0.5826,0.5915,204836800
3/18/91,0.5871,0.6094,0.5871,0.6049,214009600
3/19/91,0.5938,0.6272,0.5871,0.6205,422195200
3/20/91,0.6183,0.6205,0.5971,0.6049,361704000
3/21/91,0.6094,0.6138,0.5692,0.5781,296800000
3/22/91,0.5714,0.5781,0.5558,0.5647,338128000
3/25/91,0.567,0.5804,0.5647,0.5759,135856000
3/26/91,0.5781,0.6272,0.5781,0.625,333625600
3/27/91,0.625,0.6272,0.6116,0.6183,190220800
3/28/91,0.6183,0.625,0.6049,0.6071,78702400
4/1/91,0.6071,0.6205,0.6027,0.6116,117924800
