Date,Open,Low,Low,Close,Volume
8/14/19,89.6505,89.7825,87.861,88.148,97872000
8/15/19,89.0995,89.4,88.098,88.806,75182000
8/16/19,89.6445,90.1455,89.2275,89.6285,60360000
8/19/19,90.904,91.3,90.6305,90.806,56326000
8/20/19,90.725,90.841,89.994,90.069,38590000
8/21/19,90.9695,91.479,90.75,91.177,40636000
8/22/19,91.4,91.4705,90.005,90.233,53070000
8/23/19,89.6515,90.245,87.2615,87.481,105416000
8/26/19,88.3455,88.5,87.1755,88.4435,61600000
8/27/19,88.7865,88.97,87.334,88.0915,60394000
8/28/19,87.75,88.393,87.2025,88.2125,48394000
8/29/19,89.15,89.9275,88.8625,89.32,60302000
8/30/19,89.8745,89.987,88.2285,88.8145,61174000
9/3/19,88.5,90.04,88.4,89.492,70860000
9/4/19,90.25,90.3815,89.8115,90.031,46482000
9/5/19,91.0975,92.1,90.779,92.036,66216000
9/6/19,91.911,92.0325,91.32,91.6755,49938000
9/9/19,92.05,92.5,91.2305,91.5675,59990000
9/10/19,91.1375,91.2905,90.267,91.0275,52278000
9/11/19,90.607,91.671,90.454,91.1495,48656000
9/12/19,91.8815,92.683,91.714,92.1775,56470000
9/13/19,92.1005,92.306,91.7585,91.967,39426000
9/16/19,91.201,91.2845,90.01,90.392,73510000
9/17/19,90.354,91.1995,90.205,91.1275,39648000
9/18/19,90.852,91.103,89.775,90.873,50112000
9/19/19,91.051,91.6285,90.895,91.075,40630000
9/20/19,91.0855,91.5315,89.046,89.708,106838000
9/23/19,88.85,89.635,88.366,89.265,58446000
9/24/19,89.5305,89.7855,86.7775,87.0805,92320000
9/25/19,87.368,88.65,86.15,88.4165,69864000
9/26/19,88.1395,88.1685,86.575,86.992,70736000
9/27/19,87.4,87.456,85.691,86.2725,78144000
9/30/19,86.3495,86.873,85.461,86.7955,52894000
10/1/19,87.3,87.78,86.4205,86.7825,61690000
10/2/19,86.387,86.4445,85.25,85.6615,66022000
10/3/19,85.65,86.25,84.253,86.221,69364000
10/4/19,86.301,87.029,85.9615,86.9825,49438000
10/7/19,86.5815,87.3915,86.185,86.633,43094000
10/8/19,86.1245,86.35,85.25,85.2755,50840000
10/9/19,85.9805,86.4975,85.718,86.0995,40870000
10/10/19,86.262,86.9145,85.6875,86.013,51504000
10/11/19,87.146,87.2725,86.493,86.596,65100000
10/14/19,86.4455,87.0945,86.1,86.8215,38204000
10/15/19,87.107,88.8225,87.031,88.369,62234000
10/16/19,88.6665,89.312,88.526,88.8715,55268000
10/17/19,89.8245,89.9425,89.101,89.374,52948000
10/18/19,89.39,89.699,87.46,87.8755,67250000
10/21/19,88.483,89.294,88.25,89.283,42608000
10/22/19,89.4075,89.489,88.1,88.2865,42234000
10/23/19,88.065,88.5025,87.1,88.1085,42764000
10/24/19,88.5545,89.417,88.0135,89.039,88922000
10/25/19,84.8775,88.2105,84.75,88.0665,192528000
10/28/19,87.403,88.935,87.125,88.854,74178000
